Sample,UTD24,TRP24
CTL0451,0.020125845,0.034719681
CTL0452,0.006948693,0.02238313
CTL0453,0.012779258,0.020483017
CTL0454,0.006694473,0.00985085
CTL0455,0.069111586,0.032407086
CTL0456,0.097919707,0.076603314
CTL0457,0.058270674,0.037065257
CTL0458,0.015605502,0.022931106
CTL0459,0.058744253,0.027300649
CTL0460,0.05040018,0.050003156
CTL0461,0.084165326,0.34163085
CTL0462,0.017491869,0.09273632
CTL0463,0.034677651,0.019105557
CTL0464,0.024163101,0.010333463
CTL0465,0.074963705,0.04947563
CTL0466,0.171147384,0.059581067
CTL0467,0.14248439,0.223748032
CTL0468,0.051422014,0.106005446
CTL0469,0.013870755,0.058311735
CTL0470,0.050035933,0.023845168
CTL0471,0.001986798,0.003756224
CTL0472,0.003386353,0.00994063
CTL0473,0.067049978,0.224291899
CTL0474,0.002148265,0.003499939
CTL0475,0.00662302,0.01607069
CTL0476,0.073361235,0.155145006
CTL0477,0.005698249,0.006112901
CTL0477A,0.01983173,0.030159096
CTL0478,0.011344246,0.013196973
CTL0479,0.004971706,0.012305489
CTL0480,0.011536103,0.090243935
CTL0481,0.017229174,0.031202878
CTL0482,0.010442009,0.056998183
CTL0483,0.010751673,0.049099936
CTL0484,0.015900264,0.137854007
CTL0485,0.005248294,0.051688773
CTL0486,0.033238286,0.089966341
CTL0487,0.009967831,0.020556417
CTL0488,0.099722672,0.094451606
CTL0489,0.074581534,0.100032241
CTL0490,0.035408111,0.049621452
CTL0491,0.072111121,0.128516814
CTL0492,0.007105994,0.015693261
CTL0493,0.258567136,0.519214497
CTL0494,0.058475962,0.070772922
CTL0495,0.113920168,0.111427073
CTL0496,0.007987007,0.012932989
CTL0497,0.033833668,0.032410973
CTL0498,0.02133733,0.024659641
CTL0499,0.036382097,0.039247369
CTL0500,0.17022815,0.063751448
CTL0500A,0.01003431,0.017893973
CTL0501,0.055131967,0.065342337
CTL0503,0.205615645,0.504080093
CTL0504,0.027712928,0.030220045
CTL0505,0.142321624,0.179727012
CTL0506,0.054089546,0.06741411
CTL0507,0.021411303,0.046222665
CTL0508,0.012466507,0.020239916
CTL0509,0.009598339,0.015087721
CTL0510,0.041177196,0.043849884
CTL0511,0.142820801,0.064095044
CTL0512,0.016554634,0.054444985
CTL0513,0.022608683,0.046550762
CTL0514,0.010242042,0.017581872
CTL0515,0.006444391,0.009621798
CTL0516,0.098709805,0.080799488
CTL0517,0.064499247,0.050165591
CTL0518,0.132151278,0.069189783
CTL0519,0.410589625,0.126083005
CTL0520,0.057874318,0.105850484
CTL0521,0.133693472,0.223320159
CTL0522,0.033130391,0.031499259
CTL0523,0.023576194,0.012105856
CTL0524,0.018786634,0.048230351
CTL0525,0.037697249,0.022523525
CTL0526,0.022683834,0.012368208
CTL0527,0.13666761,0.249732902
CTL0528,0.091717633,0.083424109
CTL0529,0.012656224,0.045367192
CTL0530,0.081135957,0.110160693
CTL0531,0.025090372,0.032067506
CTL0532,0.019705781,0.014450193
CTL0533,0.02202641,0.014680081
CTL0534,0.018366719,0.020730524
CTL0535,0.179913914,0.218100782
CTL0536,0.014330673,0.041857897
CTL0537,0.010593457,0.036931467
CTL0538,0.46798924,0.210929288
CTL0539,0.036381566,0.077773918
CTL0540,0.183185894,0.068031754
CTL0541,0.488991502,0.207522352
CTL0542,0.025469191,0.058455189
CTL0543,0.010054486,0.03012427
CTL0544,0.061723326,0.137844476
CTL0545,0.099758433,0.12689563
CTL0546,0.048904474,0.141610159
CTL0547,0.159468631,0.248556724
CTL0548,0.051635951,0.228597161
CTL0549,0.009121975,0.015298034
CTL0550,0.014345502,0.032911559
CTL0551,0.069565425,0.042520807
CTL0552,0.005889594,0.018003959
CTL0553,0.047193539,0.040979251
CTL0554,0.088076536,0.262702304
CTL0555,0.020023704,0.02585221
CTL0556,0.013839866,0.014950211
CTL0557,0.097344697,0.112237925
CTL0558,0.04177718,0.09497772
CTL0559,0.030574182,0.062891526
CTL0560,0.046446106,0.116643747
CTL0561,0.018770005,0.060125404
CTL0562,0.089711389,0.297676889
CTL0563,0.040338493,0.062412165
CTL0564,0.053143655,0.047843928
CTL0565,0.654738705,0.364582287
CTL0566,0.355054422,0.622222715
CTL0567,0.211735974,0.466148672
CTL0568,0.068016437,0.32768307
CTL0569,0.054926199,0.217467471
CTL0570,0.06630813,0.242652081
CTL0571,0.072645696,0.300879172
CTL0572,0.054773304,0.174003325
CTL0573,0.026699933,0.063057914
CTL0574,0.199413114,0.623922045
CTL0575,0.032353353,0.113266497
CTL0576,0.061606769,0.112653717
CTL0577,0.003139893,0.007212323
CTL0578,0.018416837,0.036438008
CTL0580,0.008650177,0.019976534
CTL0581,0.101175218,0.149064505
CTL0582,0.016771186,0.042710049
CTL0583,0.021054087,0.041854271
CTL0583A,0.026119109,0.091507556
CTL0584,0.014453728,0.058873973
CTL0585,0.034409685,0.12165453
CTL0586,0.047654931,0.106490969
CTL0587,0.025474094,0.066516439
CTL0588,0.026327071,0.120606961
CTL0589,0.004163799,0.010098243
CTL0590,0.039246999,0.107320795
CTL0591,0.018276676,0.031769895
CTL0592,0.008987243,0.010365533
CTL0592A,0.009624297,0.013648548
CTL0593,0.003248112,0.020205768
CTL0594,0.12180112,0.179841323
CTL0595,0.059704121,0.151555552
CTL0596,0.027175692,0.088685666
CTL0597,0.06519431,0.089726833
CTL0598,0.223765734,0.209734348
CTL0599,0.001759664,0.002960975
CTL0600,0.016466514,0.061366499
CTL0601,0.003158705,0.003050723
CTL0602,0.109678903,0.482494888
CTL0603,0.024450646,0.084517781
CTL0604,0.025998702,0.045773835
CTL0605,0.035953348,0.087904258
CTL0606,0.142254629,0.29742078
CTL0607,0.067471874,0.18267228
CTL0608,0.047393806,0.045713544
CTL0609,0.329777125,0.437024676
CTL0610,0.088118347,0.013959314
CTL0611A,0.010357502,0.024337262
CTL0612,0.009770559,0.019425337
CTL0613,0.101952658,0.30791248
CTL0614,0.019533672,0.033748477
CTL0615,0.138634063,0.766536589
CTL0616,0.042915378,0.198434136
CTL0617,0.036058733,0.141649397
CTL0618,0.068166911,0.277264726
CTL0619,0.147565118,0.028549162
CTL0620,0.012625854,0.055731806
CTL0621,0.003500789,0.016780598
CTL0622,0.009917346,0.021513063
CTL0623,0.00279167,0.007044556
CTL0624,0.00357879,0.007838001
CTL0625,0.003160987,0.020480175
CTL0626,0.138771814,0.068299671
CTL0627,0.136757632,0.016131165
CTL0628,0.062080637,0.006941913
CTL0629,0.079828503,0.074053452
CTL0630,0.106949407,0.120615905
CTL0631,0.028698891,0.022111845
CTL0633,0.15985448,0.107916829
CTL0634,0.077498512,0.121192708
CTL0635,0.025265873,0.041742268
CTL0636,0.070439113,0.130427656
CTL0637,0.053394331,0.055980499
CTL0638,0.216843278,0.031593595
CTL0639,0.004842596,0.034376864
CTL0640,0.033247981,0.035242486
CTL0641,0.052595028,0.06141482
CTL0642,0.078534324,0.164909564
CTL0643,0.025340884,0.044710674
CTL0644,0.025888286,0.089366673
CTL0645,0.045103115,0.028756493
CTL0646,0.014508286,0.056450275
CTL0647,0.006604095,0.019786404
CTL0648,0.035611099,0.00209594
CTL0649,0.049237214,0.235100923
CTL0650,0.069193746,0.084290049
CTL0651,0.03288759,0.034285081
CTL0652,0.24520476,0.374167943
CTL0654,0.06427016,0.356416626
CTL0655,0.065183305,0.243336908
CTL0656,0.112722827,0.104001931
CTL0657,0.036003434,0.053254833
CTL0658,0.041277532,0.050554969
CTL0659,0.19533423,0.314203027
CTL0660,0.033980661,0.067203622
CTL0661,0.014530277,0.0597652
CTL0662,0.027499563,0.100943181
CTL0663,0.028253011,0.068156382
CTL0664,0.057193073,0.053787798
CTL0665,0.019980603,0.037333151
CTL0666,0.024030868,0.095846719
CTL0667,0.025185501,0.063477264
CTL0668,0.020691012,0.048134562
CTL0669,0.020700953,0.095183869
CTL0670,0.442289747,0.10753939
CTL0672,0.012056825,0.06432401
CTL0673,0.006083135,0.018778372
CTL0674,0.00313278,0.01881427
CTL0675,0.016301379,0.043104376
CTL0676,0.158658636,0.447352309
CTL0677,0.068830362,0.245644417
CTL0678,0.036038823,0.072150938
CTL0679,0.068009134,0.164125695
CTL0680,0.019370587,0.09703201
CTL0681,0.009102128,0.024634231
CTL0682,0.014975639,0.021206372
CTL0683,0.059935123,0.020526064
CTL0684,0.087436316,0.215525743
CTL0685,0.012072692,0.034354082
CTL0686,0.00584351,0.014384532
CTL0687,0.002328776,0.003964098
CTL0688,0.138357971,0.476017472
CTL0689,0.072078882,0.12036028
CTL0690,0.051620024,0.096503925
CTL0691,0.178125434,0.293577941
CTL0692,0.000174319,0.000399254
CTL0693,0.01427517,0.013951453
CTL0694,0.029636026,0.081459516
CTL0695,0.12054613,0.263637169
CTL0696,0.225796581,0.723962197
CTL0697,0.169386884,0.659889986
CTL0698,0.052907847,0.206380845
CTL0699,0.000836063,0.017000117
CTL0700,0.106941758,0.008200527
CTL0701,0.090166951,0.104053984
CTL0704,0.033734644,0.001928844
CTL0705,0.08897925,0.388199835
CTL0706,0.1027719,0.305786486
CTL0707,0.124685281,0.118987836
CTL0708,0.252633716,0.318695192
CTL0709,0.00554482,0.038125387
CTL0710,0.032141579,0.104947787
CTL0711,0.02784449,0.037204938
CTL0712,0.010018621,0.021662114
CTL0713,0.013615719,0.039190755
CTL0714,0.020377967,0.05474884
CTL0715,0.11513662,0.187997964
CTL0716,0.421665574,0.013599607
CTL0717,0.054197532,0.117757927
CTL0718,0.021761674,0.019897124
CTL0719,0.030287129,0.04373526
CTL0720,0.120605632,0.20917528
CTL0721,0.057759909,0.130670923
CTL0722,0.018224926,0.040408118
CTL0723,0.005741826,0.010050293
CTL0724,0.039406297,0.029673814
CTL0725,0.000354218,0.001387236
CTL0726,0.040809007,0.051211031
CTL0727,0.048715712,0.019657608
CTL0728,0.021726102,0.006242886
CTL0729,0.002081118,0.006508401
CTL0730,0.001696915,0.012667469
CTL0731,0.025698616,0.029152923
CTL0733,0.013252057,0.065710695
CTL0734,0.002301637,0.025674206
CTL0735,0.006049673,0.009066326
CTL0736,0.048868695,0.307615416
CTL0737,0.144832121,0.192321807
CTL0738,0.010575405,0.01545264
CTL0739,0.051379375,0.081790233
CTL0740,0.068156042,0.106636506
CTL0741,0.08125872,0.144697924
CTL0742,0.009018109,0.006641475
CTL0743,0.067138842,0.048080632
CTL0744,0.003051162,0.016079193
CTL0745,0.057116452,0.062756642
CTL0746,0.049606132,0.041675051
CTL0747,0.085918694,0.084817911
CTL0748,0.02508395,0.017855495
CTL0749,0.079251545,0.056296069
CTL0750,0.124639889,0.021066072
CTL0751,0.018810059,0.002708226
CTL0752,0.190527855,0.216433626
CTL0753,0.13910219,0.197483668
CTL0754,0.149019632,0.093454583
CTL0755,0.047585516,0.024393593
CTL0756,0.069274523,0.17978936
CTL0757,0.321423717,0.314136955
CTL0758,0.000510063,0.000617703
CTL0759,0.039002497,0.104426247
CTL0760,0.104378173,0.389590718
CTL0761,0.005747027,0.015294012
CTL0763,0.026331263,0.013081886
CTL0764,0.051007648,0.027123257
CTL0765,0.134962547,0.045578142
CTL0766,0.161133401,0.21799045
CTL0767,0.248424926,0.43645879
CTL0768,0.019938816,0.058711912
CTL0769,0.093342946,0.293266522
CTL0770,0.029427626,0.121542846
CTL0771,0.043769946,0.206545822
CTL0772,0.100060455,0.223296766
CTL0773,0.03771251,0.089657031
CTL0774,0.043131424,0.092692735
CTL0775,0.039915094,0.081323183
CTL0776,0.01982719,0.055647976
CTL0777,0.018110943,0.040908356
CTL0778,0.019086244,0.04884696
CTL0779,0.013275197,0.034278264
CTL0780,0.011971532,0.042531862
CTL0781,0.011227604,0.055571994
CTL0782,0.001652259,0.006573602
CTL0783,0.019787184,0.065602108
CTL0784,0.009136456,0.042758268
CTL0785,0.009650312,0.041971521
CTL0786,0.009753374,0.045696878
CTL0787,0.046708885,0.21696553
CTL0788,0.009062573,0.029186173
CTL0789,0.048185868,0.179142576
CTL0790,0.038183168,0.171388845
CTL0791,0.087094012,0.254359401
CTL0792,0.032820477,0.037329336
CTL0793,0.093826829,0.121931877
CTL0794,0.025183263,0.022878454
CTL0795,0.128267641,0.117403678
CTL0796,0.077135464,0.069397143
CTL0797,0.098227947,0.071122157
CTL0798,0.038067048,0.046133927
CTL0799,0.031392081,0.056164316
CTL0800,0.120397265,0.295095416
CTL0801,0.038178126,0.18006039
CTL0802,0.036719723,0.096218339
CTL0803,0.09594193,0.229983618
CTL0804,0.162275072,0.604029532
CTL0805,0.044661814,0.224000179
CTL0806,0.663164812,0.605278456
CTL0807,0.147260516,0.097911254
CTL0808,0.072236535,0.011448246
CTL0809,0.038501,0.066524889
CTL0810,0.007416617,0.017715527
CTL0811,0.010142182,0.043737965
CTL0812,0.108396015,0.014518304
CTL0813,0.045189934,0.098369438
CTL0814,0.001156097,0.005965028
CTL0815,0.004240433,0.017894341
CTL0817,0.056921799,0.201729979
CTL0818,0.029475472,0.030717228
CTL0819,0.515383621,0.489790976
CTL0820,0.136260632,0.296593772
CTL0821,0.020065834,0.051214801
CTL0822,0.46847798,0.251314679
CTL0823,0.065743876,0.034036224
CTL0824,0.06671583,0.029731258
CTL0825,0.021952794,0.01141962
CTL0826,0.016802351,0.012094372
CTL0827,0.021003456,0.013992806
CTL0829,0.012358038,0.019969532
CTL0830,0.007992268,0.01343214
CTL0831,0.005123446,0.012292415
CTL0832,0.007323977,0.018544689
CTL0833,0.012413784,0.01945415
CTL0834,0.026281301,0.036170485
CTL0835,0.05524813,0.107604837
CTL0836,0.014701649,0.053050435
CTL0837,0.037600207,0.035817312
CTL0838,0.066722628,0.046302723
CTL0839,0.100136823,0.002439002
CTL0840,0.017761374,0.000397083
CTL0841,0.191312065,0.005787268
CTL0842,0.212389012,0.005247182
CTL0843,0.009074189,0.047661398
CTL0844,0.045498691,0.33668161
CTL0845,0.025835612,0.0824341
CTL0846,0.014278976,0.039304431
CTL0847,0.055429605,0.133594359
CTL0848,0.059086597,0.387741242
CTL0849,0.028383093,0.052012811
CTL0850,0.060182571,0.150891238
CTL0851,0.02155722,0.020635251
CTL0852,0.008399009,0.003618576
CTL0853,0.165386259,0.041138871
CTL0854,0.041201205,0.018152799
CTL0855,0.024896779,0.016735488
CTL0856,0.034607817,0.018059349
CTL0858,0.022237288,0.033428569
CTL0859,0.08057427,0.059602663
CTL0860,0.01716158,0.024064347
CTL0861,0.001568196,0.003118386
CTL0861A,0.000497541,0.001532044
CTL0862,0.019578965,0.081068537
CTL0863,0.04970608,0.117003472
CTL0864,0.032100881,0.042564267
CTL0865,0.084927946,0.021618502
CTL0866,0.082326836,0.525324743
CTL0867,0.092587903,0.037491554
CTL0868,0.047116273,0.046451614
CTL0869,0.015852662,0.046304883
CTL0870,0.026258615,0.012703237
CTL0871,0.009063407,0.032537449
CTL0872,0.0910025,0.270892494
CTL0873,0.033668692,0.012470974
CTL0875,0.126810862,0.238183264
CTL0876,0.034370257,0.143687268
CTL0877,0.164972052,0.658360741
CTL0878,0.016074999,0.057752829
CTL0879,0.117490319,0.397688873
CTL0880,0.067724489,0.065165254
CTL0881,0.087795389,0.302447723
CTL0882,0.02022067,0.187900022
CTL0883,0.212695623,0.022234064
CTL0884,0.241186787,0.040471424
CTL0885,0.420323645,0.062881908
CTL0886,0.221146234,0.016834248
CTL0887,0.108218601,0.735092245
CTL0888,0.042958163,0.154461396
CTL0889,0.045567654,0.122407979
CTL0890,0.09792998,0.314283024
CTL0891,0.030323297,0.127362974
CTL0892,0.086602347,0.083544003
CTL0893,0.091979128,0.080290402
CTL0894,0.105197673,0.019337186
CTL0895,0.073967303,0.207798169
CTL0897,0.111294505,0.230969856
